PurchaseID,Date,Category,Item,WeightKg,PurchaseRate,Amount,CashPaid,RemainingDue,VendorName,Notes
purchase_2026_02_23,2026-02-22T12:00:00.000Z,Purchase,Others,11100,7.59,84300,84300,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_24,2026-02-22T12:00:00.000Z,Purchase,Others,3200,8.28,26500,26500,0,,Purchase recorded from Feb Grass 2026
purchase_2026_02_25,2026-02-25T12:00:00.000Z,Purchase,Others,8500,7,59500,59500,0,,Purchase recorded from Feb Grass 2026
purchase_2026_03_2,2026-02-28T12:00:00.000Z,Purchase,Others,9300,7.49,69700,69700,0,,Purchase recorded from March Grass 2026
purchase_2026_03_3,2026-02-28T12:00:00.000Z,Purchase,Others,6200,7.5,46500,46500,0,,Purchase recorded from March Grass 2026
purchase_2026_03_4,2026-02-28T12:00:00.000Z,Purchase,Others,6300,7.49,47200,47200,0,,Purchase recorded from March Grass 2026
purchase_2026_03_5,2026-03-02T12:00:00.000Z,Purchase,Others,9000,7.5,67500,67500,0,,Purchase recorded from March Grass 2026
purchase_2026_03_6,2026-03-06T12:00:00.000Z,Purchase,Others,8100,7.8,63200,63200,0,,Purchase recorded from March Grass 2026
purchase_2026_03_7,2026-03-09T12:00:00.000Z,Purchase,Others,2725,8.22,22400,22400,0,,Purchase recorded from March Grass 2026
purchase_2026_03_8,2026-03-15T12:00:00.000Z,Purchase,Others,8400,7.7,64700,64700,0,,Purchase recorded from March Grass 2026
purchase_2026_03_9,2026-03-15T12:00:00.000Z,Purchase,Others,9000,7.51,67600,67600,0,,Purchase recorded from March Grass 2026
purchase_2026_03_10,2026-03-16T12:00:00.000Z,Purchase,Others,7200,7.86,56600,56600,0,,Purchase recorded from March Grass 2026
purchase_2026_03_11,2026-03-18T12:00:00.000Z,Purchase,Others,8300,8.3,68900,68900,0,,Purchase recorded from March Grass 2026
purchase_2026_03_12,2026-03-19T12:00:00.000Z,Purchase,Others,8300,7.4,61400,61400,0,,Purchase recorded from March Grass 2026
purchase_2026_03_13,2026-03-20T12:00:00.000Z,Purchase,Others,9000,8.33,75000,75000,0,,Purchase recorded from March Grass 2026
purchase_2026_03_14,2026-03-22T12:00:00.000Z,Purchase,Others,9800,7.76,76000,76000,0,,Purchase recorded from March Grass 2026
purchase_2026_03_15,2026-03-24T12:00:00.000Z,Purchase,Others,7100,8,56800,56800,0,,Purchase recorded from March Grass 2026
purchase_2026_03_16,2026-03-28T12:00:00.000Z,Purchase,Others,7200,7.6,54700,54700,0,,Purchase recorded from March Grass 2026
purchase_2026_04_2,2026-03-31T12:00:00.000Z,Purchase,Others,7000,8,56000,56000,0,,Purchase recorded from April Grass 2026
purchase_2026_04_3,2026-03-31T12:00:00.000Z,Purchase,Others,8900,7.49,66700,66700,0,,Purchase recorded from April Grass 2026
purchase_2026_04_4,2026-03-31T12:00:00.000Z,Purchase,Others,7400,8,59200,59200,0,,Purchase recorded from April Grass 2026
purchase_2026_04_5,2026-04-03T12:00:00.000Z,Purchase,Others,7500,7.49,56200,56200,0,,Purchase recorded from April Grass 2026
purchase_2026_04_6,2026-04-07T12:00:00.000Z,Purchase,Others,5900,8,47200,47200,0,,Purchase recorded from April Grass 2026
purchase_2026_04_7,2026-04-07T12:00:00.000Z,Purchase,Others,6620,7.49,49600,49600,0,,Purchase recorded from April Grass 2026
purchase_2026_04_8,2026-04-08T12:00:00.000Z,Purchase,Others,2240,5.74,12850,12850,0,,Purchase recorded from April Grass 2026
purchase_2026_04_9,2026-04-13T12:00:00.000Z,Purchase,Others,8200,7.6,62300,62300,0,,Purchase recorded from April Grass 2026
purchase_2026_04_10,2026-04-14T12:00:00.000Z,Purchase,Others,8300,7.8,64700,64700,0,,Purchase recorded from April Grass 2026
purchase_2026_04_11,2026-04-14T12:00:00.000Z,Purchase,Others,7200,7.69,55400,55400,0,,Purchase recorded from April Grass 2026
purchase_2026_04_12,2026-04-18T12:00:00.000Z,Purchase,Others,6600,7.8,51500,51500,0,,Purchase recorded from April Grass 2026
purchase_2026_04_13,2026-04-25T12:00:00.000Z,Purchase,Others,7900,8.49,67100,67100,0,,Purchase recorded from April Grass 2026
purchase_2026_04_14,2026-04-29T12:00:00.000Z,Purchase,Others,6900,8.1,55900,55900,0,,Purchase recorded from April Grass 2026
purchase_2026_05_2,2026-04-30T12:00:00.000Z,Purchase,Others,6900,8.53,58850,58850,0,,Purchase recorded from May Grass 2026
purchase_2026_05_3,2026-05-03T12:00:00.000Z,Purchase,Others,5890,9.08,53500,53500,0,,Purchase recorded from May Grass 2026
purchase_2026_05_4,2026-05-03T12:00:00.000Z,Purchase,Others,8600,9,77400,77400,0,,Purchase recorded from May Grass 2026
purchase_2026_05_5,2026-05-04T12:00:00.000Z,Purchase,Others,7000,8.5,59500,59500,0,,Purchase recorded from May Grass 2026
purchase_2026_05_6,2026-05-08T12:00:00.000Z,Purchase,Others,6300,8.49,53500,53500,0,,Purchase recorded from May Grass 2026
purchase_2026_05_7,2026-05-08T12:00:00.000Z,Purchase,Others,7600,9,68400,68400,0,,Purchase recorded from May Grass 2026
purchase_2026_05_8,2026-05-09T12:00:00.000Z,Purchase,Others,6100,8.85,54000,54000,0,,Purchase recorded from May Grass 2026
purchase_2026_05_9,2026-05-11T12:00:00.000Z,Purchase,Others,9300,9,83700,83700,0,,Purchase recorded from May Grass 2026
purchase_2026_05_10,2026-05-14T12:00:00.000Z,Purchase,Others,6300,8.49,53500,53500,0,,Purchase recorded from May Grass 2026
purchase_2026_05_11,2026-05-18T12:00:00.000Z,Purchase,Others,7300,9,65700,65700,0,,Purchase recorded from May Grass 2026
purchase_2026_05_12,2026-05-20T12:00:00.000Z,Purchase,Others,8500,9.08,77200,77200,0,,Purchase recorded from May Grass 2026
purchase_2026_05_13,2026-05-23T12:00:00.000Z,Purchase,Others,8600,9,77400,77400,0,,Purchase recorded from May Grass 2026
purchase_2026_05_14,2026-05-25T12:00:00.000Z,Purchase,Others,8800,9.5,83600,83600,0,,Purchase recorded from May Grass 2026
purchase_2026_05_15,2026-05-26T12:00:00.000Z,Purchase,Others,7300,8.49,62000,62000,0,,Purchase recorded from May Grass 2026
purchase_2026_05_16,2026-05-28T12:00:00.000Z,Purchase,Others,8800,8.8,77400,77400,0,,Purchase recorded from May Grass 2026
purchase_2026_05_17,2026-05-30T12:00:00.000Z,Purchase,Others,9600,8.75,84000,84000,0,,Purchase recorded from May Grass 2026
purchase_2026_06_2,2026-06-01T12:00:00.000Z,Purchase,Others,6000,9.4,56400,56400,0,,Purchase recorded from Jun Grass 2026
purchase_2026_06_3,2026-06-01T12:00:00.000Z,Purchase,Others,7200,8.5,61200,61200,0,,Purchase recorded from Jun Grass 2026
purchase_2026_06_4,2026-06-04T12:00:00.000Z,Purchase,Others,5500,9.4,51700,51700,0,,Purchase recorded from Jun Grass 2026
purchase_2026_06_5,2026-06-24T12:00:00.000Z,Purchase,Others,9700,9.49,92100,92100,0,,Purchase recorded from Jun Grass 2026
purchase_2026_06_6,2026-06-28T12:00:00.000Z,Purchase,Others,9840,9.55,94000,94000,0,,Purchase recorded from Jun Grass 2026
purchase_2026_07_2,2026-07-01T12:00:00.000Z,Purchase,Others,11300,10,113000,113000,0,,Purchase recorded from July Grass 2026
purchase_2026_07_3,2026-07-03T12:00:00.000Z,Purchase,Others,12100,10,121000,121000,0,,Purchase recorded from July Grass 2026
purchase_2026_07_4,2026-07-08T12:00:00.000Z,Purchase,Others,7300,10.25,74800,74800,0,,Purchase recorded from July Grass 2026
purchase_2026_07_5,2026-07-08T12:00:00.000Z,Purchase,Others,8200,10.24,84000,84000,0,,Purchase recorded from July Grass 2026
purchase_2026_07_6,2026-07-12T12:00:00.000Z,Purchase,Others,7970,10.25,81700,81700,0,,Purchase recorded from July Grass 2026
purchase_2026_07_7,2026-07-15T12:00:00.000Z,Purchase,Others,11000,10.5,115500,115500,0,,Purchase recorded from July Grass 2026
purchase_2026_07_8,2026-07-16T12:00:00.000Z,Purchase,Others,5200,10.25,53300,53300,0,,Purchase recorded from July Grass 2026
purchase_2026_07_9,2026-07-21T12:00:00.000Z,Purchase,Others,8300,10.49,87100,87100,0,,Purchase recorded from July Grass 2026
purchase_2026_07_10,2026-07-27T12:00:00.000Z,Purchase,Others,13600,10.56,143600,143600,0,,Purchase recorded from July Grass 2026
purchase_2026_08_2,2026-08-02T12:00:00.000Z,Purchase,Others,5920,10.79,63900,63900,0,,Purchase recorded from Aug Grass 2026
purchase_2026_08_3,2026-08-03T12:00:00.000Z,Purchase,Others,10900,10.9,118800,118800,0,,Purchase recorded from Aug Grass 2026
purchase_2026_08_4,2026-08-03T12:00:00.000Z,Purchase,Others,8600,10.7,92000,92000,0,,Purchase recorded from Aug Grass 2026
purchase_2026_08_5,2026-08-04T12:00:00.000Z,Purchase,Others,8300,10.8,89600,89600,0,,Purchase recorded from Aug Grass 2026
purchase_2026_08_6,2026-08-10T12:00:00.000Z,Purchase,Others,12200,10.75,131100,131100,0,,Purchase recorded from Aug Grass 2026
purchase_2026_08_7,2026-08-15T12:00:00.000Z,Purchase,Others,10200,10.6,108100,108100,0,,Purchase recorded from Aug Grass 2026
purchase_2026_08_8,2026-08-23T12:00:00.000Z,Purchase,Others,10100,10.59,107000,107000,0,,Purchase recorded from Aug Grass 2026
purchase_2026_08_9,2026-08-29T12:00:00.000Z,Purchase,Others,13200,10.8,142500,142500,0,,Purchase recorded from Aug Grass 2026
expense_2026_01_s199,2026-01-31T12:00:00.000Z,Interest,Others,0,0,7000,7000,0,,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_01,2026-01-31T12:00:00.000Z,Discount,Others,0,0,2286,2286,0,,Payment Discount from Opening/Closing Sheet (Jan 2026 C2)
expense_2026_02_s199,2026-02-28T12:00:00.000Z,Interest,Others,0,0,7000,7000,0,,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_02,2026-02-28T12:00:00.000Z,Discount,Others,0,0,1229,1229,0,,Payment Discount from Opening/Closing Sheet (Feb 2026 C2)
expense_2026_03_s199,2026-03-31T12:00:00.000Z,Interest,Others,0,0,7000,7000,0,,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_03,2026-03-31T12:00:00.000Z,Discount,Others,0,0,1680,1680,0,,Payment Discount from Opening/Closing Sheet (Mar 2026 C2)
expense_2026_04_s199,2026-04-30T12:00:00.000Z,Interest,Others,0,0,7000,7000,0,,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_04,2026-04-30T12:00:00.000Z,Discount,Others,0,0,2201,2201,0,,Payment Discount from Opening/Closing Sheet (Apr 2026 C2)
expense_2026_05_s198,2026-05-31T12:00:00.000Z,Fuel,Others,0,0,51100,51100,0,,Pickup Diesel + Depreciation (Recorded in Sales tab bottom summary)
expense_2026_05_s199,2026-05-31T12:00:00.000Z,Interest,Others,0,0,7000,7000,0,,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_05,2026-05-31T12:00:00.000Z,Discount,Others,0,0,2400,2400,0,,Payment Discount from Opening/Closing Sheet (May 2026 C2)
expense_2026_06_s199,2026-06-30T12:00:00.000Z,Interest,Others,0,0,7000,7000,0,,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_06,2026-06-30T12:00:00.000Z,Discount,Others,0,0,1651,1651,0,,Payment Discount from Opening/Closing Sheet (Jun 2026 C2)
expense_2026_07_s199,2026-07-31T12:00:00.000Z,Interest,Others,0,0,7000,7000,0,,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_07,2026-07-31T12:00:00.000Z,Discount,Others,0,0,1462,1462,0,,Payment Discount from Opening/Closing Sheet (Jul 2026 C2)
expense_2026_08_s198,2026-08-31T12:00:00.000Z,Interest,Others,0,0,7000,7000,0,,Intrest (Recorded in Sales tab bottom summary)
expense_discount_2026_08,2026-08-31T12:00:00.000Z,Discount,Others,0,0,1269,1269,0,,Payment Discount from Opening/Closing Sheet (Aug 2026 C2)
